pqn1, pqn2,l1,                 l2, E1, E2, delta E in R*Z m^-1,delta E in electron volts,delta E in Hz,is backwards?,degeneracy
52, 94,0,                 1, 3.728277E-04, 1.149484E-04, 2.578793E-04,3.508626E-03,8.483821E+11,0,3
35, 41,1,                 2, 8.514052E-04, 5.934357E-04, 2.579695E-04,3.509854E-03,8.486789E+11,0,15
45, 66,2,                 1, 4.927316E-04, 2.347222E-04, 2.580094E-04,3.510397E-03,8.488102E+11,0,15
41, 54,0,                 4, 6.010251E-04, 3.429355E-04, 2.580895E-04,3.511487E-03,8.490738E+11,0,9
51, 89,4,                 3, 3.844675E-04, 1.262753E-04, 2.581922E-04,3.512883E-03,8.494114E+11,0,63
51, 89,4,                 4, 3.844675E-04, 1.262467E-04, 2.582208E-04,3.513273E-03,8.495057E+11,0,286187
50, 83,0,                 4, 4.033813E-04, 1.451589E-04, 2.582223E-04,3.513294E-03,8.495107E+11,0,9
51, 90,2,                 1, 3.837148E-04, 1.254802E-04, 2.582345E-04,3.513460E-03,8.495508E+11,0,15
50, 84,4,                 3, 4.000000E-04, 1.417574E-04, 2.582426E-04,3.513569E-03,8.495772E+11,0,63
37, 46,3,                 4, 7.308591E-04, 4.725898E-04, 2.582694E-04,3.513933E-03,8.496654E+11,0,63
50, 84,4,                 4, 4.000000E-04, 1.417234E-04, 2.582766E-04,3.514033E-03,8.496893E+11,0,270071
24, 26,3,                 4, 1.737573E-03, 1.479290E-03, 2.582833E-04,3.514123E-03,8.497113E+11,0,63
52, 95,2,                 3, 3.691123E-04, 1.108269E-04, 2.582854E-04,3.514152E-03,8.497182E+11,0,35
38, 48,4,                 3, 6.925208E-04, 4.342105E-04, 2.583103E-04,3.514490E-03,8.498000E+11,0,63
51, 89,3,                 4, 3.846198E-04, 1.262467E-04, 2.583732E-04,3.515346E-03,8.500068E+11,0,63
50, 85,2,                 1, 3.992012E-04, 1.408120E-04, 2.583892E-04,3.515564E-03,8.500597E+11,0,15
47, 71,0,                 4, 4.567661E-04, 1.983733E-04, 2.583928E-04,3.515613E-03,8.500715E+11,0,9
50, 84,3,                 4, 4.001616E-04, 1.417234E-04, 2.584383E-04,3.516232E-03,8.502211E+11,0,63
38, 48,4,                 4, 6.925208E-04, 4.340278E-04, 2.584930E-04,3.516976E-03,8.504011E+11,0,121295
51, 89,3,                 2, 3.846198E-04, 1.261050E-04, 2.585149E-04,3.517274E-03,8.504731E+11,0,35
51, 88,0,                 4, 3.876534E-04, 1.291322E-04, 2.585211E-04,3.517359E-03,8.504937E+11,0,9
39, 50,3,                 2, 6.578029E-04, 3.992012E-04, 2.586017E-04,3.518455E-03,8.507586E+11,0,35
50, 84,3,                 2, 4.001616E-04, 1.415548E-04, 2.586069E-04,3.518525E-03,8.507757E+11,0,35
45, 63,1,                 2, 5.102153E-04, 2.515532E-04, 2.586621E-04,3.519277E-03,8.509575E+11,0,15
46, 66,1,                 2, 4.879240E-04, 2.292210E-04, 2.587030E-04,3.519833E-03,8.510920E+11,0,15
50, 81,1,                 0, 4.119175E-04, 1.532092E-04, 2.587083E-04,3.519905E-03,8.511093E+11,0,3
48, 73,1,                 0, 4.475103E-04, 1.887368E-04, 2.587735E-04,3.520793E-03,8.513241E+11,0,3
47, 72,2,                 3, 4.517319E-04, 1.929554E-04, 2.587765E-04,3.520834E-03,8.513339E+11,0,35
53, 100,0,                 4, 3.588366E-04, 1.000000E-04, 2.588366E-04,3.521651E-03,8.515314E+11,0,9
38, 48,3,                 4, 6.928891E-04, 4.340278E-04, 2.588613E-04,3.521987E-03,8.516127E+11,0,63
43, 59,0,                 4, 5.461544E-04, 2.872738E-04, 2.588806E-04,3.522250E-03,8.516763E+11,0,9
52, 96,2,                 1, 3.691123E-04, 1.101729E-04, 2.589394E-04,3.523050E-03,8.518696E+11,0,15
52, 95,4,                 3, 3.698225E-04, 1.108269E-04, 2.589956E-04,3.523814E-03,8.520546E+11,0,63
42, 57,4,                 3, 5.668934E-04, 3.078961E-04, 2.589973E-04,3.523838E-03,8.520602E+11,0,63
52, 95,4,                 4, 3.698225E-04, 1.108033E-04, 2.590192E-04,3.524135E-03,8.521321E+11,0,302931
32, 37,0,                 4, 9.895072E-04, 7.304602E-04, 2.590470E-04,3.524514E-03,8.522236E+11,0,9
52, 91,1,                 0, 3.804080E-04, 1.213176E-04, 2.590904E-04,3.525104E-03,8.523663E+11,0,3
42, 57,4,                 4, 5.668934E-04, 3.077870E-04, 2.591064E-04,3.525322E-03,8.524192E+11,0,162311
52, 95,3,                 4, 3.699662E-04, 1.108033E-04, 2.591629E-04,3.526090E-03,8.526049E+11,0,63
50, 84,0,                 1, 4.033813E-04, 1.442143E-04, 2.591670E-04,3.526147E-03,8.526185E+11,0,3
34, 41,0,                 1, 8.758377E-04, 6.166043E-04, 2.592334E-04,3.527050E-03,8.528368E+11,0,3
53, 97,1,                 0, 3.659921E-04, 1.067429E-04, 2.592492E-04,3.527265E-03,8.528889E+11,0,3
36, 45,2,                 1, 7.694660E-04, 5.102153E-04, 2.592507E-04,3.527286E-03,8.528940E+11,0,15
52, 95,3,                 2, 3.699662E-04, 1.106868E-04, 2.592794E-04,3.527676E-03,8.529883E+11,0,35
37, 46,3,                 2, 7.308591E-04, 4.715641E-04, 2.592950E-04,3.527889E-03,8.530397E+11,0,35
51, 89,0,                 1, 3.876534E-04, 1.283394E-04, 2.593140E-04,3.528146E-03,8.531020E+11,0,3
35, 42,0,                 4, 8.262113E-04, 5.668934E-04, 2.593179E-04,3.528200E-03,8.531149E+11,0,9
49, 80,2,                 3, 4.156444E-04, 1.562895E-04, 2.593550E-04,3.528704E-03,8.532369E+11,0,35
42, 57,3,                 4, 5.671662E-04, 3.077870E-04, 2.593792E-04,3.529033E-03,8.533164E+11,0,63
49, 77,1,                 0, 4.291610E-04, 1.695863E-04, 2.595747E-04,3.531694E-03,8.539597E+11,0,3
